Date,Strategy A (Equal Wt),Strategy B (Take-Profit),Strategy C (Proportional),BM1: EW Fixed,BM2: EW Rebal
2025-07-17,1.0797006712735484,1.0869069990951556,1.1534587002058174,1.1209222547152111,1.1186400100642604
2025-07-18,1.073097392568913,1.0827471080983402,1.1399941338282942,1.1180789501336896,1.1152643184036455
2025-07-21,1.0722821423979134,1.0809867532859698,1.13550421952366,1.1198905684216123,1.1169128012509415
2025-07-22,1.0869716532166764,1.0872565286085514,1.160555474897371,1.127298700945779,1.1253399043399568
2025-07-23,1.0976468786827198,1.0935714373603236,1.1844896755542662,1.1378795118110137,1.1366742065160487
2025-07-24,1.103013808858093,1.0939099900723859,1.188956836826203,1.1328213235633426,1.131863029451806
2025-07-25,1.1010617552008621,1.0954706889580814,1.1908975734489466,1.136229091628216,1.135131091689294
2025-07-28,1.0936046347727757,1.0937895174707717,1.182579076490001,1.1301402315035982,1.1292490962537023
2025-07-29,1.0968681447674917,1.0900680767472044,1.1757998602003987,1.130147357111284,1.1288953476954189
2025-07-30,1.0813581737689835,1.087746268881836,1.1629083681616872,1.1275066413170585,1.1256887534337041
2025-07-31,1.0596777202238827,1.0780862875671027,1.1261651497848741,1.118300621493366,1.1150878556200654
2025-08-01,1.069130077461215,1.08131554996302,1.1405646444285706,1.1140885112102732,1.1108908713037995
2025-08-04,1.075366297548005,1.0828702439407731,1.1508083238959614,1.1241206855074968,1.1205743892938207
2025-08-05,1.0802655772956602,1.0853923143062445,1.1600858533177985,1.122925328634852,1.11969024132416
2025-08-06,1.0809111973302103,1.0817649605726714,1.149073058842972,1.1236464401486774,1.120127111214525
2025-08-07,1.0889232112537486,1.0842977771606752,1.1595114597473297,1.1262103237530439,1.122860419385447
2025-08-08,1.094456390786886,1.085161242415679,1.1666534120944374,1.130064444411867,1.1269447706345295
2025-08-11,1.0944538545954638,1.0833859942828976,1.1609164180273728,1.1277005940105136,1.1244828709184858
2025-08-12,1.0953264578217685,1.0841170303898837,1.1625354997746489,1.135053396447797,1.1321285966726724
2025-08-13,1.10568635964622,1.0906244396331617,1.1864264989059448,1.1391622052713437,1.1372740840189992
2025-08-14,1.0999608530321983,1.0907563175565689,1.1856312107097975,1.1320724786654943,1.1301429052614453
2025-08-15,1.110260995992275,1.0945784127773976,1.2023592054316623,1.1289116200296485,1.127240166188432
2025-08-18,1.1074999977259008,1.0946044206054062,1.2001141020382464,1.127180413094356,1.1258568963360291
2025-08-19,1.1160098367440443,1.0964499666261922,1.2079865229298665,1.1332865094704947,1.132181249533453
2025-08-20,1.121775565766078,1.095752841187335,1.2092392092450581,1.139084721401959,1.137643680270683
2025-08-21,1.1278393187051567,1.0994286427306657,1.223319373946408,1.1393147867395566,1.1383478784543597
2025-08-22,1.133710118185315,1.1027238721880612,1.2366372223900934,1.1503516035821466,1.1501236255218337
2025-08-25,1.1197989169613174,1.0975238790846258,1.217011026565044,1.14197935209828,1.1417156158226918
2025-08-26,1.1160777231026828,1.0967005317584966,1.2123778585528382,1.1430962613324054,1.1418774975877286
2025-08-27,1.11844930598608,1.0943262252857877,1.2073062163779074,1.145670507020116,1.1444463270149923
2025-08-28,1.1111835137501311,1.0920873220313698,1.1975751837767155,1.1456694456605006,1.1447530261011356
2025-08-29,1.1216108238149152,1.0944759573310023,1.2097784941668166,1.1464963555299896,1.145953178411146
2025-09-02,1.1296670186421442,1.0980149266898378,1.2238333662206373,1.1475500107066647,1.1473800285236104
2025-09-03,1.1209198858543232,1.0946751527060414,1.2093075563800737,1.1392417479359145,1.1385948242089972
2025-09-04,1.120047188071366,1.0943370634427114,1.2085027424099442,1.1436152348051527,1.1428110087266374
2025-09-05,1.1158839225364976,1.0960557141027765,1.2094017072979362,1.1414947209786026,1.1409734436002912
2025-09-08,1.1112198855361792,1.094451251656362,1.2035534555471108,1.137931956512784,1.1373493799491865
2025-09-09,1.114407393088388,1.0958048608515583,1.207354413020739,1.1374988495578255,1.1367047422167005
2025-09-10,1.1125569332919234,1.094302504884574,1.2033712866255384,1.1384727188037145,1.1371867104789413
2025-09-11,1.1207556139031196,1.0972196213765693,1.2172882405764098,1.1456414172642253,1.14485165472
2025-09-12,1.1093748263625434,1.091189073353305,1.19548568518996,1.138993032206214,1.13763486797949
2025-09-15,1.103712085361036,1.0885808773150947,1.18600902172779,1.1381735260328236,1.136377734306513
2025-09-16,1.1076795563986912,1.088768972336568,1.1874851514125135,1.1375349282912384,1.1357906310534036
2025-09-17,1.1153802929995407,1.0889032539597239,1.1905679828765383,1.143190714443913,1.1418011527314966
